Sid	Symbol	Splice_type	Exons	Start_exon	End_exon	N.lineage	Anova.p (lineage subtype)	Anova.p (molecular subtype)	Num.mRNA	Cor.mRNA	Num.protein	Cor.protein	N.drug	Cor.drug
DONSON_ES_5:6_4.2_7	DONSON	ES	5:6	4.2	7	50	0.221770822629669	0.169825619298585	50	0.182521008403361	6	0.657142857142857	25	0.650769230769231
DPCD_AA_9.1_8_9.2	DPCD	AA	9.1	8	9.2	50	0.559747229562169	0.261432168351633	42	-0.0145050848950144	24	0.321739130434783	21	-0.761935733592414
DPCD_ES_8_7_9.1	DPCD	ES	8	7	9.1	50	0.659579076748164	0.94180557266025	42	-0.186054049826554	24	0.0895652173913043	20	0.756390977443609
DPF3_ES_3_1_4	DPF3	ES	3	1	4	50	0.725957780312431	0.719753184094418	51	0.588788673588564	12	0.47845284248448	26	0.640420308465911
DPH3_ES_2_1_3	DPH3	ES	2	1	3	50	0.218561449583485	0.853019376886759	51	0.157480315605616	NA	NA	26	0.647179487179487
DPM1_ES_7_6_8	DPM1	ES	7	6	8	50	0.339143519676193	0.72941991596655	51	-0.0428959276018099	30	0.305005561735261	25	0.679230769230769
DPM1_ES_7:8_6_9	DPM1	ES	7:8	6	9	50	0.368302745780051	0.684926859187317	51	-0.312579185520362	30	0.367296996662959	26	-0.671794871794872
DPM3_AA_2.2_1_2.3	DPM3	AA	2.2	1	2.3	50	0.281986651375718	0.584756768482686	51	-0.148325791855204	30	-0.0304783092324805	25	0.709230769230769
DPP7_ES_8_7_9	DPP7	ES	8	7	9	50	0.149016429318596	0.229149078469648	51	0.39683257918552	30	0.283648498331479	26	0.651965811965812
DPP8_ES_2.2_1_3	DPP8	ES	2.2	1	3	50	0.1752831780104	0.808211000997894	51	-0.158608050360756	25	-0.0661665717182909	26	-0.66712259480745
DPY19L2_ES_3_2_4	DPY19L2	ES	3	2	4	50	0.00226665159320231	0.00167591429043906	51	0.717817440914555	NA	NA	25	0.766995072201537
DPY30_AD_1.2_1.1_2	DPY30	AD	1.2	1.1	2	50	0.384943167263736	0.197878242132346	51	-0.105067873303167	30	0.205339265850946	26	-0.721025641025641
